split,accuracy,precision,recall,f1,tn,fp,fn,tp
train_all,0.9582850220966027,0.9599641972129792,0.9582850220966027,0.956103324072085,222087,207,11054,36603
val_all,0.9865087126600285,0.9858887280113031,0.9865087126600285,0.9844926622567275,87645,79,1135,1125
test_all,0.9514691500711238,0.940454618484499,0.9514691500711238,0.935232488365062,85019,261,4106,598
