split,accuracy,precision,recall,f1,tn,fp,fn,tp
train_corr,0.9541056024004334,0.9560223540648202,0.9541056024004334,0.9494660252665339,316090,178,16341,27326
test_corr,0.9542140825035562,0.95610202503913,0.9542140825035562,0.9496068554150212,79020,47,4073,6844
